"slug","nombre","precio","descripcion","categoria","imagenes","cantidad_imagenes","cantidad_variantes","detalle_variantes","compra_minima_tipo","compra_minima_valor"
"1bolso-matero-puffer-print","BOLSO MATERO PUFFER PRINT","14,553","PRINT ANIMAL / COMPRA MINIMA 6 UNIDADES","BOLSOS MATEROS","/productos/1bolso-matero-puffer-print/images/0.png","1","0","","packs","6"
"2combo-bolso-matero-puffer-print-yerbera-y-azucarera-alquimia-duo-mate-ginebra-negro-yute","COMBO BOLSO MATERO PUFFER PRINT + YERBERA Y AZUCARERA ALQUIMIA DUO+ MATE GINEBRA NEGRO/YUTE","23000","MODELO DEL MATE: MATE GINEBRA / COLORES DISPONIBLES: BLANCO - NEGRO - YUTE / MATERIAL DEL MATE: PLÃSTICO / INCLUYE BOMBILLA: NO / COMPRA MINIMA 6 UNIDADES, COLORES DE MATE COMBINABLES. / ","BOLSOS MATEROS","/productos/2combo-bolso-matero-puffer-print-yerbera-y-azucarera-alquimia-duo-mate-ginebra-negro-yute/images/0.png|/productos/2combo-bolso-matero-puffer-print-yerbera-y-azucarera-alquimia-duo-mate-ginebra-negro-yute/images/1.png","2","0","","packs","6"
"3combo-bolso-matero-puffer-print-yerbera-y-azucarera-alquimia-duo-mate-ritual-negro-yute","COMBO BOLSO MATERO PUFFER PRINT + YERBERA Y AZUCARERA ALQUIMIA DUO+ MATE RITUAL NEGRO/YUTE",,"MODELO DEL MATE: MATE RITUAL / COLORES DISPONIBLES: NEGRO - YUTE / MATERIAL DEL MATE: PLÃSTICO / INCLUYE BOMBILLA: NO / COMPRA MINIMA 6 UNIDADES, COLORES DE MATE COMBINABLES.","BOLSOS MATEROS","/productos/3combo-bolso-matero-puffer-print-yerbera-y-azucarera-alquimia-duo-mate-ritual-negro-yute/images/0.png|/productos/3combo-bolso-matero-puffer-print-yerbera-y-azucarera-alquimia-duo-mate-ritual-negro-yute/images/1.png","2","0","","packs","6"
"4combo-bolso-matero-puffer-print-yerbera-y-azucarera-alquimia-duo-mate-ginebra-yute-negro-blanco-dtf-uv","COMBO BOLSO MATERO PUFFER PRINT + YERBERA Y AZUCARERA ALQUIMIA DUO+ MATE GINEBRA YUTE/NEGRO/BLANCO DTF UV",,"MODELO DEL MATE: MATE GINEBRA / COLORES DISPONIBLES: BLANCO - NEGRO - YUTE / MATERIAL DEL MATE: PLÃSTICO / INCLUYE BOMBILLA: NO / COMPRA MINIMA 6 UNIDADES, COLORES DE MATE COMBINABLES.","BOLSOS MATEROS","/productos/4combo-bolso-matero-puffer-print-yerbera-y-azucarera-alquimia-duo-mate-ginebra-yute-negro-blanco-dtf-uv/images/0.png|/productos/4combo-bolso-matero-puffer-print-yerbera-y-azucarera-alquimia-duo-mate-ginebra-yute-negro-blanco-dtf-uv/images/1.png|/productos/4combo-bolso-matero-puffer-print-yerbera-y-azucarera-alquimia-duo-mate-ginebra-yute-negro-blanco-dtf-uv/images/2.png","3","0","","packs","1"
"5bolso-matero-puffer-print-yerbera-y-azucarera-alquimia-duo-mate-ritual-dtf-uv","BOLSO MATERO PUFFER PRINT + YERBERA Y AZUCARERA ALQUIMIA DUO+ MATE RITUAL DTF UV",,"MODELO DEL MATE: MATE RITUAL / COLORES DISPONIBLES: BLANCO - NEGRO - YUTE / MATERIAL DEL MATE: PLÃSTICO / INCLUYE BOMBILLA: NO / COMPRA MINIMA 6 UNIDADES, COLORES DE MATE COMBINABLES.","BOLSOS MATEROS","/productos/5bolso-matero-puffer-print-yerbera-y-azucarera-alquimia-duo-mate-ritual-dtf-uv/images/0.png","1","0","","packs","6"
"6matero-puffer-doble-bolsillo","MATERO PUFFER DOBLE BOLSILLO PRINT/NEGRO",,"MATERO PUFFER DOBLE BOLSILLO VERSION PRINT O VERSION NEGRO","BOLSOS MATEROS","/productos/6matero-puffer-doble-bolsillo/images/0.png|/productos/6matero-puffer-doble-bolsillo/images/1.jpg|/productos/6matero-puffer-doble-bolsillo/images/2.jpg","3","0","","packs","1"
"7matero-puffer-doble-bolsillo-yerbera-y-azucarera-alquimia-duo-mate-ritual","MATERO PUFFER DOBLE BOLSILLO PRINT/NEGRO + YERBERA Y AZUCARERA ALQUIMIA DUO+ MATE RITUAL NEGRO/YUTE",,"MODELO DEL MATE: MATE RITUAL / COLORES DISPONIBLES: NEGRO - YUTE / MATERIAL DEL MATE: PLÃSTICO / INCLUYE BOMBILLA: NO / COMPRA MINIMA 6 UNIDADES, COLORES DE MATE COMBINABLES.","BOLSOS MATEROS","/productos/7matero-puffer-doble-bolsillo-yerbera-y-azucarera-alquimia-duo-mate-ritual/images/0.png|/productos/7matero-puffer-doble-bolsillo-yerbera-y-azucarera-alquimia-duo-mate-ritual/images/1.png","2","0","","packs","1"
"8matero-puffer-doble-bolsillo-print-negro-yerbera-y-azucarera-alquimia-duo-mate-ginebra","MATERO PUFFER DOBLE BOLSILLO PRINT/NEGRO + YERBERA Y AZUCARERA ALQUIMIA DUO+ MATE GINEBRA",,"BOLSO MATERO PUFFER DOBLE BOLSILLO MODELO PRINT/NEGRO / MODELO DEL MATE: MATE GINEBRA / COLORES DISPONIBLES: YUTE (MODELO PRINT) - NEGRO (MODELO NEGRO) / MATERIAL DEL MATE: PLÃSTICO / INCLUYE BOMBILLA: NO / COMPRA MINIMA 6 UNIDADES, MODELOS COMBINABLES.","BOLSOS MATEROS","/productos/8matero-puffer-doble-bolsillo-print-negro-yerbera-y-azucarera-alquimia-duo-mate-ginebra/images/0.png|/productos/8matero-puffer-doble-bolsillo-print-negro-yerbera-y-azucarera-alquimia-duo-mate-ginebra/images/1.png","2","0","","packs","6"
"9bolso-matero-puffer-doble-bolsillo-yerbera-y-azucarera-alquimia-duo-mate-ritual-blanco-negro-yute-dtf-uv","BOLSO MATERO PUFFER DOBLE BOLSILLO PRINT + YERBERA Y AZUCARERA ALQUIMIA DUO+ MATE RITUAL BLANCO/NEGRO/YUTE DTF UV",,"MODELO DEL MATE: MATE RITUAL / COLORES DISPONIBLES: BLANCO - NEGRO - YUTE / MATERIAL DEL MATE: PLÃSTICO / INCLUYE BOMBILLA: NO / COMPRA MINIMA 6 UNIDADES, COLORES DE MATE COMBINABLES.",,"/productos/9bolso-matero-puffer-doble-bolsillo-yerbera-y-azucarera-alquimia-duo-mate-ritual-blanco-negro-yute-dtf-uv/images/0.png","1","0","","packs","6"
"mate-ritual-yerbera-y-azucarera-duo-alquimia-puffer-negro","MATE RITUAL + YERBERA Y AZUCARERA DUO ALQUIMIA PUFFER NEGRO/AZUL",,"YERBERA Y AZUCARERA DUO ALQUIMIA PUFFER COLOR NEGRO + MATE RITUAL CON PACKAGING COLOR NEGRO O AZUL / COMPRA MINIMA 6 UNIDADES,COLORES COMBINABLES.","YERBERAS Y AZUCARERAS","/productos/mate-ritual-yerbera-y-azucarera-duo-alquimia-puffer-negro/images/0.png","1","0","","packs","6"
"Z10-bolso-matero-puffer-rosa-lunares","BOLSO MATERO PUFFER ROSA LUNARES","11,974","COMPRA MINIMA 6 UNIDADES","BOLSOS MATEROS","/productos/Z10-bolso-matero-puffer-rosa-lunares/images/0.png|/productos/Z10-bolso-matero-puffer-rosa-lunares/images/1.jpg","2","0","","packs","6"
"Z11combo-bolso-matero-puffer-rosa-yerbera-y-azucarera-alquimia-duo-mate-ritual-blanco-rosa","COMBO BOLSO MATERO PUFFER ROSA + YERBERA Y AZUCARERA ALQUIMIA DUO+ MATE RITUAL BLANCO/ROSA",,"MODELO DEL MATE: MATE RITUAL / COLORES DISPONIBLES: BLANCO - ROSA / MATERIAL DEL MATE: PLÃSTICO / INCLUYE BOMBILLA: NO / COMPRA MINIMA 6 UNIDADES, COLORES DE MATE COMBINABLES.","BOLSOS MATEROS","/productos/Z11combo-bolso-matero-puffer-rosa-yerbera-y-azucarera-alquimia-duo-mate-ritual-blanco-rosa/images/0.png|/productos/Z11combo-bolso-matero-puffer-rosa-yerbera-y-azucarera-alquimia-duo-mate-ritual-blanco-rosa/images/1.png","2","0","","packs","6"
"Z12combo-bolso-matero-puffer-rosa-yerbera-y-azucarera-alquimia-duo-mate-ginebra-blanco-rosa","COMBO BOLSO MATERO PUFFER ROSA + YERBERA Y AZUCARERA ALQUIMIA DUO+ MATE GINEBRA BLANCO/ROSA","23000","MODELO DEL MATE: MATE GINEBRA / COLORES DISPONIBLES: BLANCO - ROSA / MATERIAL DEL MATE: PVC / COMPRA MINIMA 6 UNIDADES, COLORES DE MATE COMBINABLES.","BOLSOS MATEROS","/productos/Z12combo-bolso-matero-puffer-rosa-yerbera-y-azucarera-alquimia-duo-mate-ginebra-blanco-rosa/images/0.png|/productos/Z12combo-bolso-matero-puffer-rosa-yerbera-y-azucarera-alquimia-duo-mate-ginebra-blanco-rosa/images/1.png","2","0","","packs","6"
